"sample_id"	"param_a"	"param_b"	"param_c"
"1"	900	0.457349164922998	FALSE	"Present"
"2"	901	0.447183688161858	FALSE	"Present"
"3"	902	0.553104365348947	TRUE	"Present"
"4"	903	0.480891835430387	FALSE	"Present"
"5"	904	0.483454328145535	TRUE	"Present"
"6"	905	0.513276024058027	TRUE	"Absent"
"7"	906	0.517226567820376	FALSE	"Absent"
"8"	907	0.470070785771893	FALSE	"Absent"
"9"	908	0.415287172282219	TRUE	"Absent"
"10"	909	0.538285475019767	TRUE	"Present"
"11"	910	0.447364440402854	FALSE	"Absent"
"12"	911	0.502791783698655	TRUE	"Absent"
"13"	912	0.422490265507865	TRUE	"Present"
"14"	913	0.494300512517088	TRUE	"Present"
"15"	914	0.530546600618247	TRUE	"Present"
"16"	915	0.453847650514837	TRUE	"Absent"
"17"	916	0.550734511334612	TRUE	"Present"
"18"	917	0.490105908270176	FALSE	"Absent"
"19"	918	0.494402445438816	FALSE	"Present"
"20"	919	0.471930745943214	FALSE	"Absent"
"21"	920	0.449708884903049	TRUE	"Present"
"22"	921	0.542337578211192	FALSE	"Present"
"23"	922	0.583464212840154	TRUE	"Present"
"24"	923	0.405169863461486	TRUE	"Absent"
"25"	924	0.484079523869637	TRUE	"Present"
"26"	925	0.539775642096854	TRUE	"Present"
"27"	926	0.493746123061727	FALSE	"Absent"
"28"	927	0.480806384058852	FALSE	"Absent"
"29"	928	0.488764402886559	TRUE	"Absent"
"30"	929	0.479263325179874	TRUE	"Absent"
"31"	930	0.438590348682172	TRUE	"Present"
"32"	931	0.413303437805955	TRUE	"Present"
"33"	932	0.500152246825341	TRUE	"Absent"
"34"	933	0.564011487615281	TRUE	"Absent"
"35"	934	0.44442656257556	TRUE	"Absent"
"36"	935	0.541036370964642	FALSE	"Absent"
"37"	936	0.412881853055431	FALSE	"Present"
"38"	937	0.498262375167966	TRUE	"Present"
"39"	938	0.510994255388596	FALSE	"Absent"
"40"	939	0.524055880332397	TRUE	"Absent"
"41"	940	0.476670262717556	FALSE	"Absent"
"42"	941	0.505123541037406	FALSE	"Absent"
"43"	942	0.493765670295402	FALSE	"Present"
"44"	943	0.500135473898878	FALSE	"Present"
"45"	944	0.511034364393165	FALSE	"Absent"
"46"	945	0.555660290423288	TRUE	"Present"
"47"	946	0.564140687347736	TRUE	"Present"
"48"	947	0.478439763383598	FALSE	"Present"
"49"	948	0.4901380357037	TRUE	"Present"
"50"	949	0.53144204953431	FALSE	"Absent"
"51"	950	0.514669257842584	TRUE	"Absent"
"52"	951	0.467982312441764	TRUE	"Present"
"53"	952	0.404220281572028	TRUE	"Absent"
"54"	953	0.440553640458137	FALSE	"Present"
"55"	954	0.553236491853721	TRUE	"Present"
"56"	955	0.434539459917872	TRUE	"Absent"
"57"	956	0.550487684170948	FALSE	"Absent"
"58"	957	0.527095483066739	TRUE	"Absent"
"59"	958	0.486789979732507	FALSE	"Absent"
"60"	959	0.40149847078096	FALSE	"Present"
"61"	960	0.518919688041959	FALSE	"Present"
"62"	961	0.50467530347376	TRUE	"Absent"
"63"	962	0.564639657487599	FALSE	"Absent"
"64"	963	0.480634998202988	TRUE	"Present"
"65"	964	0.671429165297273	TRUE	"Absent"
"66"	965	0.561670634582288	FALSE	"Absent"
"67"	966	0.512963415306888	TRUE	"Present"
"68"	967	0.494525520124964	TRUE	"Present"
"69"	968	0.509534554996612	TRUE	"Present"
"70"	969	0.492710974980285	TRUE	"Absent"
"71"	970	0.46697773096527	FALSE	"Absent"
"72"	971	0.544768078767145	TRUE	"Absent"
"73"	972	0.593932247827617	FALSE	"Present"
"74"	973	0.547673367592184	FALSE	"Present"
"75"	974	0.531345755725607	FALSE	"Present"
"76"	975	0.513716129704132	TRUE	"Present"
"77"	976	0.50058840345017	FALSE	"Present"
"78"	977	0.516294675721752	TRUE	"Present"
"79"	978	0.491481676560266	FALSE	"Present"
"80"	979	0.466418995753048	FALSE	"Present"
"81"	980	0.462622501715398	FALSE	"Absent"
"82"	981	0.488331698480488	TRUE	"Present"
"83"	982	0.522062646113368	TRUE	"Present"
"84"	983	0.590306262038754	TRUE	"Absent"
"85"	984	0.451723860392226	TRUE	"Present"
"86"	985	0.502962401080045	TRUE	"Absent"
"87"	986	0.451518236859953	TRUE	"Present"
"88"	987	0.538560794514399	FALSE	"Present"
"89"	988	0.509614316291888	TRUE	"Present"
"90"	989	0.49027435079432	FALSE	"Present"
"91"	990	0.459616438872737	TRUE	"Present"
"92"	991	0.468009257870545	FALSE	"Present"
"93"	992	0.515722115339133	FALSE	"Absent"
"94"	993	0.490425538186441	FALSE	"Present"
"95"	994	0.477009544367069	FALSE	"Present"
"96"	995	0.528844306185926	FALSE	"Absent"
"97"	996	0.5508140847699	TRUE	"Present"
"98"	997	0.426057582662882	TRUE	"Absent"
"99"	998	0.446941683654558	FALSE	"Present"
"100"	999	0.469822742069617	TRUE	"Absent"
